Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,"Stat Type"
"Matt Gay",UTAH,123,0,0,0,0,0,0,0,0,0,0,45/45,26/31,0,0,Scoring
"Eno Benjamin",AZST,108,18,16,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Brandon Ruiz",AZST,99,0,0,0,0,0,0,0,0,0,0,45/45,18/22,0,0,Scoring
"James Williams",WSU,96,16,12,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Peyton Henry",WASH,91,0,0,0,0,0,0,0,0,0,0,43/44,16/22,0,0,Scoring
"Blake Mazza",WSU,90,0,0,0,0,0,0,0,0,0,0,60/60,10/15,0,0,Scoring
"JJ Arcega-Whiteside",STAN,86,14,0,14,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
"Myles Gaskin",WASH,78,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"JJ Molson",UCLA,77,0,0,0,0,0,0,0,0,0,0,35/35,14/19,0,0,Scoring
"Jet Toner",STAN,76,0,0,0,0,0,0,0,0,0,0,34/34,14/15,0,0,Scoring
"Max Borghi",WSU,72,12,8,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jermar Jefferson",ORST,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Joshua Kelley",UCLA,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Zack Moss",UTAH,72,12,11,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"CJ Verdell",ORE,72,12,10,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Jordan Choukair",ORST,71,0,0,0,0,0,0,0,0,0,0,35/38,12/20,0,0,Scoring
"Greg Thomas",CAL,68,0,0,0,0,0,0,0,0,0,0,32/32,12/17,0,0,Scoring
"N'Keal Harry",AZST,66,11,1,9,0,1,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Shawn Poindexter",ARIZ,66,11,0,11,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Laviska Shenault Jr.",COL,66,11,5,6,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Dillon Mitchell",ORE,60,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Josh Pollack",ARIZ,56,0,0,0,0,0,0,0,0,0,0,17/18,13/16,0,0,Scoring
"Patrick Laird",CAL,54,9,5,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Cameron Scarlett",STAN,54,9,7,1,0,0,0,1,0,0,0,0/0,0/0,0,0,Scoring
"Adam Stack",ORE,54,0,0,0,0,0,0,0,0,0,0,36/36,6/10,0,0,Scoring
"Michael Brown",USC,53,0,0,0,0,0,0,0,0,0,0,32/32,7/9,0,0,Scoring
"Vavae Malepeai",USC,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Davontavean Martin",WSU,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Travon McMillian",COL,48,8,7,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Manny Wilkins",AZST,48,8,8,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Easop Winston",WSU,48,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"James Stefanou",COL,45,0,0,0,0,0,0,0,0,0,0,30/30,5/8,0,0,Scoring
"Salvon Ahmed",WASH,44,7,7,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
"Tyler Vaughns",USC,44,7,0,6,0,1,0,0,0,0,0,0/0,0/0,1,0,Scoring
"Cyrus Habibi-Likio",ORE,42,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
"Colby Parkinson",STAN,42,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
